study,model,sub,npar,loglik,lme,bic,n_obs
study1,MBMC,sub-005.csv,9,-20.350368869348188,-20.350368869348188,87.43734939670827,180
study1,MBMC,sub-009.csv,9,-53.440200804064276,-53.440200804064276,153.61701326614045,180
study1,MBMC,sub-038.csv,9,-9.305471301376127,-9.305471301376127,65.34755426076416,180
study1,MBMC,sub-018.csv,9,-11.339629906926715,-11.339629906926715,69.41587147186533,180
study1,MBMC,sub-044.csv,9,-37.80941537021974,-37.80941537021974,122.35544239845137,180
study1,MBMC,sub-003.csv,9,-24.436246744026967,-24.436246744026967,95.60910514606583,180
study1,MBMC,sub-059.csv,9,-39.692453556841095,-39.692453556841095,126.12151877169408,180
study1,MBMC,sub-088.csv,9,-18.3975478421623,-18.3975478421623,83.53170734233649,180
study1,MBMC,sub-016.csv,9,-38.8349021681321,-38.8349021681321,124.4064159942761,180
study1,MBMC,sub-004.csv,9,-30.982029098981332,-30.982029098981332,108.70066985597455,180
study1,MBMC,sub-028.csv,9,-45.58630485515646,-45.58630485515646,137.90922136832484,180
study1,MBMC,sub-092.csv,9,-10.255061649638563,-10.255061649638563,67.24673495728902,180
study1,MBMC,sub-007.csv,9,-34.84992575674712,-34.84992575674712,116.43646317150613,180
study1,MBMC,sub-052.csv,9,-13.407148162897819,-13.407148162897819,73.55090798380753,180
study1,MBMC,sub-036.csv,9,-6.26650597469271,-6.26650597469271,59.269623607397314,180
study1,MBMC,sub-075.csv,9,-25.182657342330867,-25.182657342330867,97.10192634267364,180
study1,MBMC,sub-020.csv,9,-8.856413256559925,-8.856413256559925,64.44943817113175,180
study1,MBMC,sub-085.csv,9,-0.4421562545716706,-0.4421562545716706,47.62092416715524,180
study1,MBMC,sub-055.csv,9,-0.25646614991734096,-0.25646614991734096,47.249543957846576,180
study1,MBMC,sub-064.csv,9,-14.171546401225534,-14.171546401225534,75.07970446046296,180
study1,MBMC,sub-034.csv,9,-120.19921438195664,-120.19921438195664,287.13504042192517,180
study1,MBMC,sub-057.csv,9,-67.25157388568947,-67.25157388568947,181.23975942939083,180
study1,MBMC,sub-012.csv,9,-18.45471564933023,-18.45471564933023,83.64604295667235,180
study1,MBMC,sub-022.csv,9,-16.360245097941746,-16.360245097941746,79.45710185389538,180
study1,MBMC,sub-037.csv,9,-5.418620711781798,-5.418620711781798,57.57385308157549,180
study1,MBMC,sub-091.csv,9,-20.072487413536244,-20.072487413536244,86.88158648508438,180
study1,MBMC,sub-029.csv,9,-43.94227846950977,-43.94227846950977,134.62116859703144,180
study1,MBMC,sub-073.csv,9,-17.428241451927775,-17.428241451927775,81.59309456186745,180
study1,MBMC,sub-008.csv,9,-66.89431880352753,-66.89431880352753,180.52524926506695,180
study1,MBMC,sub-048.csv,9,-0.45350441630989047,-0.45350441630989047,47.643620490631676,180
study1,MBMC,sub-023.csv,9,-4.706538251524238,-4.706538251524238,56.14968816106037,180
study1,MBMC,sub-026.csv,9,-70.03425947420948,-70.03425947420948,186.80513060643085,180
study1,MBMC,sub-084.csv,9,-47.74042828115391,-47.74042828115391,142.21746822031972,180
study1,MBMC,sub-082.csv,9,-31.209975634182957,-31.209975634182957,109.1565629263778,180
