,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choices_numeric,choice_numeric_last,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,space_hit_points,goal_points,space_hit_points_total,total_score,metacontrol_accuracy
0,0,sub-005.csv,-1.0,1,start,1,1,0,1,1,2.3431510547407077,1,0,3,1,right,34,1,1,0,0,1,0.0,0,Lost_Novel,1,1,0,0,0.0,0,400,400,63900,1.0,0,4,0,4,1
1,1,sub-005.csv,-0.9661016949152542,2,start,1,1,1,1,1,2.046453365852855,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
2,2,sub-005.csv,-0.8813559322033898,3,start,1,0,1,1,1,0.5332718125958207,1,0,3,1,left,34,1,1,1,0,0,0.0,0,Won_Novel,1,1,0,0,1.0,0,0,0,63900,0.0,0,0,0,0,1
3,3,sub-005.csv,-0.864406779661017,4,start,1,0,0,0,1,0.8694087459740246,1,0,3,1,right,34,1,1,1,0,1,0.0,0,Won_Novel,1,1,0,0,1.0,0,0,0,63900,0.3333333333333333,0,0,0,0,1
4,4,sub-005.csv,-0.8305084745762712,5,start,1,1,0,1,1,2.124558300482959,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
5,5,sub-005.csv,-0.7966101694915254,6,start,1,1,1,1,1,2.017738995361473,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
6,6,sub-005.csv,-0.7796610169491526,7,start,1,1,1,0,1,3.226863835590384,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
7,7,sub-005.csv,-0.711864406779661,8,start,1,1,1,1,1,0.1564052791641357,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
8,8,sub-005.csv,-0.6949152542372882,9,start,1,1,1,0,1,1.647138239616926,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
9,9,sub-005.csv,-0.559322033898305,10,start,1,0,1,1,1,0.7034934726140896,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Lost_Cached,1,1,0,0,1.0,0,0,0,63900,0.3333333333333333,0,0,0,0,1
10,10,sub-005.csv,-0.5254237288135594,11,start,1,1,0,1,1,0.7671872932684101,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
