,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last
0,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.9830508474576272,1,start,1,1,0,1,1,2.6585798056279137,1,0,3,1,right,71,1,1,0
1,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.9661016949152542,2,start,1,1,1,0,1,1.640355015068822,1,1,3,1,right,71,1,1,1
2,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.9152542372881356,3,start,1,0,1,1,1,1.2029723039923526,1,0,3,1,left,71,0,1,1
3,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.864406779661017,4,start,1,1,0,1,1,1.3077921329649331,1,0,3,1,right,71,1,1,0
4,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.7627118644067796,5,start,1,1,1,1,1,0.6657759837638133,1,1,3,1,right,71,1,1,1
5,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.7457627118644068,6,start,1,1,1,0,1,0.5888971591861462,1,1,3,1,right,71,1,1,1
6,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.6271186440677966,7,start,1,1,1,1,1,0.5788580341578177,1,1,3,1,right,71,1,1,1
7,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.5932203389830508,8,start,1,1,1,1,1,0.49591501103023644,1,1,3,1,right,71,1,1,1
8,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.5423728813559322,9,start,1,1,1,1,1,0.23901690047049992,1,1,3,1,right,71,1,1,1
9,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.4745762711864407,10,start,1,1,1,1,1,0.1881379421153945,1,1,3,1,right,71,1,1,1
10,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.4067796610169492,11,start,1,1,1,1,1,1.09894556645823,1,1,3,1,right,71,1,1,1
11,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.3728813559322034,12,start,1,1,1,1,1,0.43631757159092904,1,1,3,1,right,71,1,1,1
12,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.3389830508474576,13,start,1,1,1,1,1,0.5754891370917129,1,1,3,1,right,71,1,1,1
13,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.23728813559322035,14,start,1,1,1,1,1,0.4668737362368079,1,1,3,1,right,71,1,1,1
14,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.2033898305084746,15,start,1,1,1,1,1,0.1906203596086497,1,1,3,1,right,71,1,1,1
15,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.1864406779661017,16,start,1,1,1,0,1,0.8510052651755257,1,1,3,1,right,71,1,1,1
16,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.15254237288135594,17,start,1,1,1,1,1,0.11332868530700327,1,1,3,1,right,71,1,1,1
17,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.11864406779661017,18,start,1,1,1,1,1,0.10436001532424286,1,1,3,1,right,71,1,1,1
18,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.06779661016949153,19,start,1,1,1,1,1,0.1380212978973746,1,1,3,1,right,71,1,1,1
19,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.01694915254237288,20,start,1,1,1,1,1,0.4027948795522855,1,1,3,1,right,71,1,1,1
20,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.9830508474576272,1,images/toothbrush.png,2,1,1,1,1,1.7288196694541809,1,0,3,0,left,71,1,1,1
21,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.9661016949152542,2,images/toothbrush.png,2,1,1,0,1,0.33718626735486995,1,1,3,0,left,71,1,1,1
22,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.9152542372881356,3,images/baby.png,2,0,1,1,1,2.3779708198999354,0,0,3,0,space,71,0,0,1
23,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.864406779661017,4,images/toothbrush.png,2,1,0,1,1,0.47000362924573563,1,1,3,0,left,71,1,1,0
24,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.7627118644067796,5,images/toothbrush.png,2,1,1,1,1,-0.10425002137379911,1,1,3,0,left,71,1,1,1
25,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.7457627118644068,6,images/toothbrush.png,2,1,1,0,1,0.0980337402713654,1,1,3,0,left,71,1,1,1
26,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.6271186440677966,7,images/toothbrush.png,2,1,1,1,1,0.07510747248680548,1,1,3,0,left,71,1,1,1
27,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.5932203389830508,8,images/toothbrush.png,2,1,1,1,1,0.22154226994723591,1,1,3,0,left,71,1,1,1
28,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.5423728813559322,9,images/toothbrush.png,2,1,1,1,1,-0.2561834053924099,1,1,3,0,left,71,1,1,1
29,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.4745762711864407,10,images/toothbrush.png,2,1,1,1,1,-0.5058380822549516,1,1,3,0,left,71,1,1,1
30,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.4067796610169492,11,images/toothbrush.png,2,1,1,1,1,-0.5905905922348531,1,1,3,0,left,71,1,1,1
31,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.3728813559322034,12,images/toothbrush.png,2,1,1,1,1,-0.6812186096946715,1,1,3,0,left,71,1,1,1
32,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.3389830508474576,13,images/toothbrush.png,2,1,1,1,1,-0.44941699563734716,1,1,3,0,left,71,1,1,1
33,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.23728813559322035,14,images/toothbrush.png,2,1,1,1,1,-0.7381445464906811,1,1,3,0,left,71,1,1,1
34,5PARTICIPANT_thisExp_2023-05-28_10h06.47.253.csv,-0.2033898305084746,15,images/toothbrush.png,2,1,1,1,1,-0.6386589952758756,1,1,3,0,left,71,1,1,1
