planning_depth,decision,trial_num_within_goal,initiation_decision,is_initiation,G_rollouts_needed,rollout_proxy
1,1,1,3,0,5.0,5.0
1,1,2,3,0,5.0,4.524187090179797
1,1,3,3,0,5.0,4.093653765389909
1,1,4,3,0,5.0,3.7040911034085893
1,1,5,3,0,5.0,3.351600230178197
1,1,6,3,0,5.0,3.032653298563167
1,1,7,3,0,5.0,2.744058180470132
1,1,8,3,0,5.0,2.482926518957047
1,1,9,3,0,5.0,2.246644820586108
1,1,10,3,0,5.0,2.0328482987029957
1,1,11,3,0,5.0,1.8393972058572117
1,1,12,3,0,5.0,1.6643554184903975
1,1,13,3,0,5.0,1.5059710595610099
1,1,14,3,0,5.0,1.3626589651700627
1,1,15,3,0,5.0,1.2329848197080322
1,1,16,3,0,5.0,1.115650800742149
1,1,17,3,0,5.0,1.0094825899732767
1,1,18,3,0,5.0,0.9134176202636729
1,1,19,3,0,5.0,0.8264944411079328
1,1,20,3,0,5.0,0.7478430961131755
1,2,1,3,0,3.0,3.0
1,2,2,3,0,3.0,2.7145122541078788
1,2,3,3,0,3.0,2.4561922592339456
1,2,4,3,0,3.0,2.2224546620451537
1,2,5,3,0,3.0,2.0109601381069178
1,2,6,3,0,3.0,1.8195919791379003
1,2,7,3,0,3.0,1.646434908282079
1,2,8,3,0,3.0,1.4897559113742282
1,2,9,3,0,3.0,1.3479868923516647
1,2,10,3,0,3.0,1.2197089792217972
1,2,11,3,0,3.0,1.103638323514327
1,2,12,3,0,3.0,0.9986132510942385
1,2,13,3,0,3.0,0.9035826357366059
1,2,14,3,0,3.0,0.8175953791020376
1,2,15,3,0,3.0,0.7397908918248194
1,2,16,3,0,3.0,0.6693904804452894
1,2,17,3,0,3.0,0.6056895539839661
1,2,18,3,0,3.0,0.5480505721582037
1,2,19,3,0,3.0,0.4958966646647597
1,2,20,3,0,3.0,0.4487058576679053
1,3,1,3,1,2.0,2.0
1,3,2,3,1,2.0,2.0
1,3,3,3,1,2.0,2.0
1,3,4,3,1,2.0,2.0
1,3,5,3,1,2.0,2.0
1,3,6,3,1,2.0,2.0
1,3,7,3,1,2.0,2.0
1,3,8,3,1,2.0,2.0
1,3,9,3,1,2.0,2.0
1,3,10,3,1,2.0,2.0
1,3,11,3,1,2.0,2.0
1,3,12,3,1,2.0,2.0
1,3,13,3,1,2.0,2.0
1,3,14,3,1,2.0,2.0
1,3,15,3,1,2.0,2.0
1,3,16,3,1,2.0,2.0
1,3,17,3,1,2.0,2.0
1,3,18,3,1,2.0,2.0
1,3,19,3,1,2.0,2.0
1,3,20,3,1,2.0,2.0
2,1,1,2,0,7.0,7.0
2,1,2,2,0,7.0,6.333861926251717
2,1,3,2,0,7.0,5.731115271545873
2,1,4,2,0,7.0,5.185727544772025
2,1,5,2,0,7.0,4.692240322249475
2,1,6,2,0,7.0,4.245714617988434
