sub,Status,Age,Sex
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
sub-074,APPROVED,23,Male
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
sub-069,APPROVED,47,Female
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,APPROVED,47,Male
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,APPROVED,41,Male
,APPROVED,23,Male
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,APPROVED,40,Female
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
sub-031,APPROVED,57,Female
sub-046,APPROVED,57,Male
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,APPROVED,36,Male
sub-030,APPROVED,25,Female
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
sub-079,APPROVED,46,Male
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,APPROVED,28,Male
,APPROVED,57,Female
,APPROVED,22,Male
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
sub-053,APPROVED,25,Female
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
sub-034,APPROVED,57,Male
,APPROVED,33,Male
,RETURNED,CONSENT_REVOKED,CONSENT_REVOKED
sub-086,APPROVED,29,Male
