,Model,BIC
0,MBMC_optimal,26984.05491280084
1,MBMC_Depth,25180.54011043868
2,MBMC_Breadth1_Depth,24667.34493574834
3,MBMC_Breadth2_Depth,15837.933909123849
4,MBMC_Breadth2_Depth_CC,13572.64694328037
5,MBMC_Breadth2_Depth_CCR,13334.645848139357
6,MBMC_Breadth2_Depth_CCRF,12322.586894605158
7,MBMC_Breadth2_Depth_CCRF_CB,12057.490946332953
8,MBMCF_Breadth2_Depth_CCRF_CB,12149.95380454981
9,MBMCsequential_Breadth2_Depth_CCRF_CB,12080.269159028569
10,MBMC_Breadth2_Depth_MF,12790.254026570794
11,CCRF_CB,26058.399485907583
12,CCRF,26714.563278686648
13,CB,26003.598437929715
14,MBMCreplace_Breadth2_Depth_CCRF_CB_CP,11392.973160951411
15,MBMC_Breadth2_Depth_CCRF_CB_CP,11380.859559289484
