sub,percent_correct
582f8bbd4cadc80001b0fbd3_thisExp_2024-06-24_19h55.11.310.csv,0.6875
5a78b8355292b800012284ca_thisExp_2024-06-24_13h51.28.364.csv,0.5625
5ddd1dd2b48da3c63a3ccdbb_thisExp_2024-06-24_14h54.12.084.csv,0.375
5e6fd38fe95be7071b5196bf_thisExp_2024-06-24_11h56.07.139.csv,0.3125
5ea1dc176205ad0c7c941ca1_thisExp_2024-06-24_20h11.01.587.csv,0.625
5ed7a0239e6b4a23ec6eb236_thisExp_2024-06-24_19h50.29.491.csv,0.5625
5f0f2ff0762218000970c967_thisExp_2024-06-24_19h49.53.357.csv,0.5
5pop_thisExp_2024-06-24_19h50.09.121.csv,0.3125
5thisExp_2024-06-24_11h53.06.958.csv,0.3125
5thisExp_2024-06-24_11h53.23.936.csv,0.625
5thisExp_2024-06-24_12h36.27.497.csv,0.375
5thisExp_2024-06-24_12h42.07.475.csv,0.625
5thisExp_2024-06-24_14h49.59.419.csv,0.5625
5thisExp_2024-06-24_14h51.03.095.csv,0.3125
5thisExp_2024-06-24_14h53.57.368.csv,0.375
5thisExp_2024-06-24_14h56.07.534.csv,0.375
5thisExp_2024-06-24_15h00.29.759.csv,0.6875
5thisExp_2024-06-24_16h17.54.730.csv,0.625
5thisExp_2024-06-24_17h12.45.163.csv,0.5625
5thisExp_2024-06-24_17h12.48.246.csv,0.25
5thisExp_2024-06-24_17h13.09.801.csv,0.4375
5thisExp_2024-06-24_18h14.13.542.csv,0.6875
5thisExp_2024-06-24_19h49.32.742.csv,0.75
5thisExp_2024-06-24_19h49.43.783.csv,0.3125
5thisExp_2024-06-24_19h49.44.862.csv,0.5
5thisExp_2024-06-24_19h49.48.491.csv,0.5625
5thisExp_2024-06-24_19h50.00.063.csv,0.5
5thisExp_2024-06-24_19h50.14.894.csv,0.4375
5thisExp_2024-06-24_19h50.15.543.csv,0.3125
5thisExp_2024-06-24_19h50.36.163.csv,0.5
5thisExp_2024-06-24_19h50.53.643.csv,0.6875
5thisExp_2024-06-24_19h50.55.454.csv,0.3125
5thisExp_2024-06-24_19h50.59.800.csv,0.625
5thisExp_2024-06-24_19h51.00.763.csv,0.625
5thisExp_2024-06-24_19h51.13.909.csv,0.625
5thisExp_2024-06-24_19h51.14.132.csv,0.5625
5thisExp_2024-06-24_19h51.17.152.csv,0.625
5thisExp_2024-06-24_19h51.28.014.csv,0.625
5thisExp_2024-06-24_19h51.39.485.csv,0.5
5thisExp_2024-06-24_19h51.40.519.csv,0.4375
5thisExp_2024-06-24_19h51.53.545.csv,0.4375
5thisExp_2024-06-24_19h52.23.184.csv,0.6875
5thisExp_2024-06-24_19h52.37.040.csv,0.625
5thisExp_2024-06-24_19h52.51.863.csv,0.375
5thisExp_2024-06-24_19h53.00.394.csv,0.5
5thisExp_2024-06-24_19h53.17.301.csv,0.6875
5thisExp_2024-06-24_19h56.09.730.csv,0.3125
5thisExp_2024-06-24_19h56.55.294.csv,0.625
5thisExp_2024-06-24_19h57.43.270.csv,0.375
5thisExp_2024-06-24_20h00.04.803.csv,0.3125
5thisExp_2024-06-24_20h00.21.395.csv,0.1875
5thisExp_2024-06-24_20h03.26.223.csv,0.5
5thisExp_2024-06-24_20h03.44.261.csv,0.4375
5thisExp_2024-06-24_20h17.55.473.csv,0.1875
5thisExp_2024-06-24_20h23.00.458.csv,0.75
5thisExp_2024-06-24_20h23.10.136.csv,0.3125
5thisExp_2024-06-24_20h51.29.781.csv,0.75
5thisExp_2024-06-24_20h56.51.401.csv,0.625
5thisExp_2024-06-24_20h58.48.876.csv,0.625
5thisExp_2024-06-24_21h31.24.342.csv,0.5
5thisExp_2024-06-24_21h53.25.203.csv,0.6875
5thisExp_2024-06-24_22h16.06.505.csv,0.25
5thisExp_2024-06-24_22h23.09.897.csv,0.5
60cd16e63d3924958e8d3d43_thisExp_2024-06-24_19h50.22.402.csv,0.375
636cc5fa559ec4d93e272972_thisExp_2024-06-24_19h51.20.413.csv,0.375
63ecfea248ea89e9bb6b2a9a_thisExp_2024-06-24_14h53.15.031.csv,0.25
63f79204eb27c9dc523185d9_thisExp_2024-06-24_14h51.18.198.csv,0.1875
645e4f49d473048703d162cb_thisExp_2024-06-24_16h13.15.540.csv,0.4375
654cec9d03f822b4b2b4133a_thisExp_2024-06-24_19h56.08.214.csv,0.4375
65b7c1dde1a37ff1f9622939_thisExp_2024-06-24_14h52.03.344.csv,0.6875
65e1e16d9f7eaa10f3454025_thisExp_2024-06-24_20h45.09.341.csv,0.375
65f07a7446073902ed31d06d_thisExp_2024-06-24_14h50.10.916.csv,0.25
660c1d15b19f4833ad06a1fa_thisExp_2024-06-24_19h51.58.143.csv,0.6875
66476990b8c4a981b418584a_thisExp_2024-06-24_13h26.37.867.csv,0.5625
664e337b865833e9f8b59991_thisExp_2024-06-24_21h02.28.970.csv,0.6875
6657927becd7a80314f5fd2f_thisExp_2024-06-24_14h52.35.588.csv,0.1875
6658b5120acc6e0ea889828a_thisExp_2024-06-24_19h54.13.388.csv,0.25
6658b6838e28e3383feae335_thisExp_2024-06-24_20h10.25.829.csv,0.25
