sub,percent_correct
sub-164.csv,0.6875
sub-166.csv,0.5625
sub-170.csv,0.375
sub-171.csv,0.3125
sub-172.csv,0.625
sub-173.csv,0.5625
sub-174.csv,0.5
sub-175.csv,0.3125
sub-176.csv,0.3125
sub-177.csv,0.625
sub-178.csv,0.375
sub-179.csv,0.625
sub-180.csv,0.5625
sub-181.csv,0.3125
sub-182.csv,0.375
sub-183.csv,0.375
sub-184.csv,0.6875
sub-185.csv,0.625
sub-186.csv,0.5625
sub-187.csv,0.25
sub-188.csv,0.4375
sub-189.csv,0.6875
sub-190.csv,0.75
sub-191.csv,0.3125
sub-192.csv,0.5
sub-193.csv,0.5625
sub-194.csv,0.5
sub-195.csv,0.4375
sub-196.csv,0.3125
sub-197.csv,0.5
sub-198.csv,0.6875
sub-199.csv,0.3125
sub-200.csv,0.625
sub-201.csv,0.625
sub-202.csv,0.625
sub-203.csv,0.5625
sub-204.csv,0.625
sub-205.csv,0.625
sub-206.csv,0.5
sub-207.csv,0.4375
sub-209.csv,0.4375
sub-210.csv,0.6875
sub-211.csv,0.625
sub-212.csv,0.375
sub-213.csv,0.5
sub-214.csv,0.6875
sub-215.csv,0.3125
sub-216.csv,0.625
sub-217.csv,0.375
sub-218.csv,0.3125
sub-219.csv,0.1875
sub-220.csv,0.5
sub-221.csv,0.4375
sub-222.csv,0.1875
sub-223.csv,0.75
sub-224.csv,0.3125
sub-226.csv,0.75
sub-227.csv,0.625
sub-228.csv,0.625
sub-229.csv,0.5
sub-230.csv,0.6875
sub-231.csv,0.25
sub-232.csv,0.5
sub-233.csv,0.375
sub-234.csv,0.375
sub-236.csv,0.25
sub-237.csv,0.1875
sub-238.csv,0.4375
sub-239.csv,0.4375
sub-240.csv,0.6875
sub-241.csv,0.375
sub-242.csv,0.25
sub-243.csv,0.6875
sub-244.csv,0.5625
sub-245.csv,0.6875
sub-246.csv,0.1875
sub-247.csv,0.25
sub-248.csv,0.25
sub-249.csv,0.75
sub-250.csv,0.6875
sub-251.csv,0.75
sub-252.csv,0.25
sub-253.csv,0.375
sub-254.csv,0.375
sub-255.csv,0.75
sub-256.csv,0.625
sub-257.csv,0.375
