Delta_BIC,Larger_BIC,Smaller_BIC
15603.195353511355,MBMC_optimal,MBMC_Breadth2_Depth_CCRF_CB_CP
15591.081751849428,MBMC_optimal,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
15333.703719397165,CCRF,MBMC_Breadth2_Depth_CCRF_CB_CP
15321.590117735237,CCRF,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
14926.563966467886,MBMC_optimal,MBMC_Breadth2_Depth_CCRF_CB
14903.78575377227,MBMC_optimal,MBMCsequential_Breadth2_Depth_CCRF_CB
14834.101108251029,MBMC_optimal,MBMCF_Breadth2_Depth_CCRF_CB
14677.5399266181,CCRF_CB,MBMC_Breadth2_Depth_CCRF_CB_CP
14665.426324956172,CCRF_CB,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
14661.468018195681,MBMC_optimal,MBMC_Breadth2_Depth_CCRF
14657.072332353695,CCRF,MBMC_Breadth2_Depth_CCRF_CB
14634.29411965808,CCRF,MBMCsequential_Breadth2_Depth_CCRF_CB
14622.738878640232,CB,MBMC_Breadth2_Depth_CCRF_CB_CP
14610.625276978304,CB,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
14564.609474136838,CCRF,MBMCF_Breadth2_Depth_CCRF_CB
14391.97638408149,CCRF,MBMC_Breadth2_Depth_CCRF
14193.800886230045,MBMC_optimal,MBMC_Breadth2_Depth_MF
14000.90853957463,CCRF_CB,MBMC_Breadth2_Depth_CCRF_CB
13978.130326879014,CCRF_CB,MBMCsequential_Breadth2_Depth_CCRF_CB
13946.107491596762,CB,MBMC_Breadth2_Depth_CCRF_CB
13924.309252115854,CCRF,MBMC_Breadth2_Depth_MF
13923.329278901147,CB,MBMCsequential_Breadth2_Depth_CCRF_CB
13908.445681357773,CCRF_CB,MBMCF_Breadth2_Depth_CCRF_CB
13853.644633379905,CB,MBMCF_Breadth2_Depth_CCRF_CB
13799.680551149197,MBMC_Depth,MBMC_Breadth2_Depth_CCRF_CB_CP
13787.566949487269,MBMC_Depth,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
13735.812591302425,CCRF_CB,MBMC_Breadth2_Depth_CCRF
13681.011543324557,CB,MBMC_Breadth2_Depth_CCRF
13649.409064661482,MBMC_optimal,MBMC_Breadth2_Depth_CCR
13411.40796952047,MBMC_optimal,MBMC_Breadth2_Depth_CC
13379.917430547292,CCRF,MBMC_Breadth2_Depth_CCR
13286.485376458857,MBMC_Breadth1_Depth,MBMC_Breadth2_Depth_CCRF_CB_CP
13274.37177479693,MBMC_Breadth1_Depth,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
13268.145459336789,CCRF_CB,MBMC_Breadth2_Depth_MF
13213.344411358921,CB,MBMC_Breadth2_Depth_MF
13141.916335406278,CCRF,MBMC_Breadth2_Depth_CC
13123.049164105727,MBMC_Depth,MBMC_Breadth2_Depth_CCRF_CB
13100.270951410112,MBMC_Depth,MBMCsequential_Breadth2_Depth_CCRF_CB
13030.58630588887,MBMC_Depth,MBMCF_Breadth2_Depth_CCRF_CB
12857.953215833522,MBMC_Depth,MBMC_Breadth2_Depth_CCRF
12723.753637768226,CCRF_CB,MBMC_Breadth2_Depth_CCR
12668.952589790359,CB,MBMC_Breadth2_Depth_CCR
12609.853989415387,MBMC_Breadth1_Depth,MBMC_Breadth2_Depth_CCRF_CB
12587.075776719772,MBMC_Breadth1_Depth,MBMCsequential_Breadth2_Depth_CCRF_CB
12517.39113119853,MBMC_Breadth1_Depth,MBMCF_Breadth2_Depth_CCRF_CB
12485.752542627213,CCRF_CB,MBMC_Breadth2_Depth_CC
12430.951494649345,CB,MBMC_Breadth2_Depth_CC
12390.286083867886,MBMC_Depth,MBMC_Breadth2_Depth_MF
12344.758041143183,MBMC_Breadth1_Depth,MBMC_Breadth2_Depth_CCRF
11877.090909177547,MBMC_Breadth1_Depth,MBMC_Breadth2_Depth_MF
11845.894262299324,MBMC_Depth,MBMC_Breadth2_Depth_CCR
11607.89316715831,MBMC_Depth,MBMC_Breadth2_Depth_CC
11332.699087608984,MBMC_Breadth1_Depth,MBMC_Breadth2_Depth_CCR
11146.12100367699,MBMC_optimal,MBMC_Breadth2_Depth
11094.69799246797,MBMC_Breadth1_Depth,MBMC_Breadth2_Depth_CC
10876.6293695628,CCRF,MBMC_Breadth2_Depth
10220.465576783734,CCRF_CB,MBMC_Breadth2_Depth
10165.664528805866,CB,MBMC_Breadth2_Depth
9342.606201314831,MBMC_Depth,MBMC_Breadth2_Depth
8829.411026624492,MBMC_Breadth1_Depth,MBMC_Breadth2_Depth
4457.074349834365,MBMC_Breadth2_Depth,MBMC_Breadth2_Depth_CCRF_CB_CP
4444.960748172438,MBMC_Breadth2_Depth,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
3780.4429627908958,MBMC_Breadth2_Depth,MBMC_Breadth2_Depth_CCRF_CB
3757.6647500952804,MBMC_Breadth2_Depth,MBMCsequential_Breadth2_Depth_CCRF_CB
3687.9801045740387,MBMC_Breadth2_Depth,MBMCF_Breadth2_Depth_CCRF_CB
3515.347014518691,MBMC_Breadth2_Depth,MBMC_Breadth2_Depth_CCRF
3047.679882553055,MBMC_Breadth2_Depth,MBMC_Breadth2_Depth_MF
2503.2880609844924,MBMC_Breadth2_Depth,MBMC_Breadth2_Depth_CCR
2316.7099770524983,MBMC_optimal,MBMC_Breadth1_Depth
2265.2869658434793,MBMC_Breadth2_Depth,MBMC_Breadth2_Depth_CC
2191.787383990886,MBMC_Breadth2_Depth_CC,MBMC_Breadth2_Depth_CCRF_CB_CP
2179.6737823289586,MBMC_Breadth2_Depth_CC,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
2047.2183429383076,CCRF,MBMC_Breadth1_Depth
1953.786288849873,MBMC_Breadth2_Depth_CCR,MBMC_Breadth2_Depth_CCRF_CB_CP
1941.6726871879455,MBMC_Breadth2_Depth_CCR,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
1803.5148023621587,MBMC_optimal,MBMC_Depth
1534.023168247968,CCRF,MBMC_Depth
1515.1559969474165,MBMC_Breadth2_Depth_CC,MBMC_Breadth2_Depth_CCRF_CB
1492.3777842518011,MBMC_Breadth2_Depth_CC,MBMCsequential_Breadth2_Depth_CCRF_CB
1422.6931387305594,MBMC_Breadth2_Depth_CC,MBMCF_Breadth2_Depth_CCRF_CB
1409.3944672813104,MBMC_Breadth2_Depth_MF,MBMC_Breadth2_Depth_CCRF_CB_CP
1397.280865619383,MBMC_Breadth2_Depth_MF,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
1391.0545501592424,CCRF_CB,MBMC_Breadth1_Depth
1336.2535021813746,CB,MBMC_Breadth1_Depth
1277.1549018064034,MBMC_Breadth2_Depth_CCR,MBMC_Breadth2_Depth_CCRF_CB
1254.376689110788,MBMC_Breadth2_Depth_CCR,MBMCsequential_Breadth2_Depth_CCRF_CB
1250.0600486752119,MBMC_Breadth2_Depth_CC,MBMC_Breadth2_Depth_CCRF
1184.6920435895463,MBMC_Breadth2_Depth_CCR,MBMCF_Breadth2_Depth_CCRF_CB
1012.0589535341987,MBMC_Breadth2_Depth_CCR,MBMC_Breadth2_Depth_CCRF
980.4564748711236,MBMC_optimal,CB
941.7273353156743,MBMC_Breadth2_Depth_CCRF,MBMC_Breadth2_Depth_CCRF_CB_CP
929.6137336537467,MBMC_Breadth2_Depth_CCRF,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
925.6554268932559,MBMC_optimal,CCRF_CB
877.8593754689027,CCRF_CB,MBMC_Depth
823.058327491035,CB,MBMC_Depth
782.3929167095757,MBMC_Breadth2_Depth_CC,MBMC_Breadth2_Depth_MF
769.0942452603267,MBMCF_Breadth2_Depth_CCRF_CB,MBMC_Breadth2_Depth_CCRF_CB_CP
756.9806435983992,MBMCF_Breadth2_Depth_CCRF_CB,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
732.7630802378408,MBMC_Breadth2_Depth_MF,MBMC_Breadth2_Depth_CCRF_CB
710.964840756933,CCRF,CB
709.9848675422254,MBMC_Breadth2_Depth_MF,MBMCsequential_Breadth2_Depth_CCRF_CB
699.409599739085,MBMCsequential_Breadth2_Depth_CCRF_CB,MBMC_Breadth2_Depth_CCRF_CB_CP
687.2959980771575,MBMCsequential_Breadth2_Depth_CCRF_CB,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
676.6313870434697,MBMC_Breadth2_Depth_CCRF_CB,MBMC_Breadth2_Depth_CCRF_CB_CP
664.5177853815421,MBMC_Breadth2_Depth_CCRF_CB,MBMCreplace_Breadth2_Depth_CCRF_CB_CP
656.1637927790653,CCRF,CCRF_CB
640.3002220209837,MBMC_Breadth2_Depth_MF,MBMCF_Breadth2_Depth_CCRF_CB
544.3918215685626,MBMC_Breadth2_Depth_CCR,MBMC_Breadth2_Depth_MF
513.1951746903396,MBMC_Depth,MBMC_Breadth1_Depth
467.66713196563614,MBMC_Breadth2_Depth_MF,MBMC_Breadth2_Depth_CCRF
269.4916341141907,MBMC_optimal,CCRF
265.0959482722046,MBMC_Breadth2_Depth_CCRF,MBMC_Breadth2_Depth_CCRF_CB
242.31773557658926,MBMC_Breadth2_Depth_CCRF,MBMCsequential_Breadth2_Depth_CCRF_CB
238.00109514101314,MBMC_Breadth2_Depth_CC,MBMC_Breadth2_Depth_CCR
172.63309005534757,MBMC_Breadth2_Depth_CCRF,MBMCF_Breadth2_Depth_CCRF_CB
92.46285821685706,MBMCF_Breadth2_Depth_CCRF_CB,MBMC_Breadth2_Depth_CCRF_CB
69.68464552124169,MBMCF_Breadth2_Depth_CCRF_CB,MBMCsequential_Breadth2_Depth_CCRF_CB
54.80104797786771,CCRF_CB,CB
22.778212695615366,MBMCsequential_Breadth2_Depth_CCRF_CB,MBMC_Breadth2_Depth_CCRF_CB
12.113601661927532,MBMCreplace_Breadth2_Depth_CCRF_CB_CP,MBMC_Breadth2_Depth_CCRF_CB_CP
