sub,Status,Age,Sex
,APPROVED,19,Female
,APPROVED,21,Male
,APPROVED,46,Female
sub-014,APPROVED,53,Female
,APPROVED,60,Female
sub-246,APPROVED,28,Female
sub-240,APPROVED,42,Male
sub-145,APPROVED,23,Female
,APPROVED,46,Female
sub-149,APPROVED,39,Female
sub-161,APPROVED,56,Male
,APPROVED,38,Male
sub-136,APPROVED,19,Male
,APPROVED,35,Female
,APPROVED,54,Male
,APPROVED,18,Female
sub-147,APPROVED,32,Female
,APPROVED,51,Male
sub-016,APPROVED,68,Male
,APPROVED,41,Male
,APPROVED,59,Female
,APPROVED,32,Male
,APPROVED,19,Female
,APPROVED,31,Female
,APPROVED,43,Female
sub-154,APPROVED,48,Female
,APPROVED,32,Female
,APPROVED,22,Female
,APPROVED,32,Female
sub-174,APPROVED,27,Female
,APPROVED,45,Female
sub-127,APPROVED,32,Male
,APPROVED,27,Female
sub-173,APPROVED,23,Male
sub-135,APPROVED,36,Male
,APPROVED,60,Male
sub-251,APPROVED,33,Female
,APPROVED,31,Female
,APPROVED,22,Female
,APPROVED,33,Female
sub-242,APPROVED,50,Female
sub-160,APPROVED,38,Female
,APPROVED,63,Male
,APPROVED,35,Female
,APPROVED,38,Female
,APPROVED,64,Male
,APPROVED,27,Male
,APPROVED,42,Female
sub-171,APPROVED,39,Male
,APPROVED,28,Female
,APPROVED,28,Male
,APPROVED,44,Female
,APPROVED,30,Female
sub-005,APPROVED,44,Female
,APPROVED,35,Male
,APPROVED,39,Female
sub-244,APPROVED,33,Male
sub-126,APPROVED,40,Female
,APPROVED,41,Female
,APPROVED,29,Male
,APPROVED,29,Male
sub-168,APPROVED,41,Male
,APPROVED,46,Female
sub-233,APPROVED,35,Female
,APPROVED,30,Female
sub-143,APPROVED,31,Female
sub-253,APPROVED,45,Male
,APPROVED,38,Female
,APPROVED,23,Male
,APPROVED,35,Female
,APPROVED,29,Male
,APPROVED,52,Male
sub-150,APPROVED,38,Female
,APPROVED,30,Male
,APPROVED,37,Male
,APPROVED,27,Female
,APPROVED,23,Male
,APPROVED,20,Female
sub-257,APPROVED,27,Male
,APPROVED,41,Female
,APPROVED,77,Male
,APPROVED,43,Female
sub-006,APPROVED,49,Male
,APPROVED,47,Female
,APPROVED,33,Male
sub-237,APPROVED,36,Male
,APPROVED,54,Female
,APPROVED,49,Male
sub-140,APPROVED,41,Female
sub-159,APPROVED,22,Female
,APPROVED,66,Male
sub-247,APPROVED,27,Female
,APPROVED,36,Female
sub-012,APPROVED,34,Male
,APPROVED,37,Female
