,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choice_numeric_last,choices_numeric,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,optimal_metacontrol_choice_accurate,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,meta_action,switch_order,goal_reachability
0,0,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.9322033898305084,1,start,1,0,,1,1,2.0955609235597192,1,0,3,1,space,30,0,0,0,1,0.0,2,0,Won_Novel,1,0,0,0,0,0.0,-100,0,-300,72300,,1,1,1
1,1,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.8813559322033898,2,start,1,1,0.0,1,1,2.751531057713746,1,0,3,1,right,30,1,1,0,0,1.0,1,-1,Lost_Novel,1,1,1,0,0,0.0,0,400,400,72300,1.0,0,1,0
2,2,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.864406779661017,3,start,1,0,1.0,0,1,1.3839415955362937,1,1,3,1,right,30,0,1,1,0,0.0,1,0,Lost_Cached,1,1,0,0,0,1.0,0,0,-100,72300,0.5,0,0,-1
3,3,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.7966101694915254,4,start,1,0,0.0,1,1,0.7268237069193291,1,0,3,1,space,30,0,0,0,1,0.0,2,0,Won_Novel,1,0,0,0,0,1.0,-100,0,-300,72300,,1,1,1
4,4,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.7796610169491526,5,start,1,1,0.0,0,1,1.804922455754336,1,0,3,1,right,30,1,1,0,0,1.0,1,-1,Lost_Novel,1,1,1,0,0,0.0,0,400,400,72300,1.0,0,1,0
5,5,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.711864406779661,6,start,1,1,1.0,1,1,2.1004689088719117,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,72300,1.0,0,1,0
6,6,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.6440677966101694,7,start,1,1,1.0,1,1,1.5562058978371638,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,72300,1.0,0,1,0
7,7,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.6271186440677966,8,start,1,1,1.0,0,1,0.8492958630498767,1,1,3,1,right,30,1,1,1,0,0.0,1,0,Won_Cached,1,1,1,0,0,1.0,0,400,400,72300,1.0,0,1,0
8,8,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.5932203389830508,9,start,1,0,1.0,1,1,1.634032959289481,1,0,3,1,left,30,0,1,1,0,0.0,0,0,Won_Novel,1,1,0,0,0,1.0,0,0,-200,72300,0.0,0,0,-1
9,9,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.5423728813559322,10,start,1,1,0.0,1,1,0.8725478089262362,1,0,3,1,right,30,1,1,0,0,0.0,1,0,Lost_Novel,1,1,1,0,0,1.0,0,400,400,72300,1.0,0,1,0
