sub,optimal_delayed_score,worry,stress,manipCheckWorry

sub-001.csv,0.8125,30,8,0.4727272727272729

sub-002.csv,0.5083333333333333,30,8,1.6363636363636365

sub-003.csv,0.5583333333333333,49,11,0.09090909090909083

sub-004.csv,0.8,47,10,1.2545454545454544

sub-005.csv,0.825,27,8,0.7454545454545456

sub-006.csv,0.825,46,10,0.10909090909090935

sub-007.csv,0.7833333333333333,77,21,0.01818181818181852

sub-011.csv,0.4875,28,10,0.5090909090909093

sub-012.csv,0.5,35,8,1.1818181818181819

sub-013.csv,0.5,22,8,1.2000000000000002

sub-008.csv,0.6416666666666666,54,19,1.4909090909090912

sub-014.csv,0.4833333333333333,41,9,1.5090909090909093

sub-015.csv,0.9625,76,23,0.3636363636363633

sub-016.csv,0.8833333333333333,67,13,0.2727272727272725

sub-017.csv,0.9416666666666667,36,9,1.6727272727272726

sub-018.csv,0.8666666666666667,69,22,0.45454545454545414

sub-019.csv,0.4791666666666667,42,17,2.0

sub-020.csv,0.8208333333333333,57,15,1.2181818181818187

sub-021.csv,0.4458333333333333,21,8,0.4181818181818182

sub-009.csv,0.9958333333333333,24,10,0.4363636363636365

sub-010.csv,0.6666666666666667,46,11,0.4727272727272731

sub-022.csv,0.975,75,14,0.12727272727272787

sub-023.csv,0.675,45,12,0.3090909090909091

sub-024.csv,0.6541666666666667,27,17,1.3272727272727274

sub-025.csv,0.8708333333333333,58,8,1.1272727272727274

sub-026.csv,0.4958333333333333,60,13,0.07272727272727275

sub-027.csv,0.9583333333333333,64,25,0.581818181818182

sub-028.csv,0.825,64,25,0.8727272727272726

sub-029.csv,0.5,31,20,0.9636363636363636

sub-030.csv,0.5291666666666667,66,33,0.10909090909090935

sub-031.csv,0.5791666666666666,30,11,0.4727272727272729

sub-032.csv,0.7625,21,14,0.7090909090909092

sub-033.csv,0.925,35,8,0.8909090909090907

sub-034.csv,0.5,72,29,0.4363636363636365

sub-035.csv,0.5083333333333333,57,8,0.6363636363636362

sub-036.csv,0.44166666666666665,60,8,0.6545454545454548

sub-037.csv,0.9208333333333333,57,16,0.9272727272727272

sub-038.csv,0.45833333333333337,58,21,0.2545454545454544

sub-039.csv,0.4583333333333333,49,8,1.3636363636363638

sub-040.csv,0.5833333333333334,80,19,0.0

sub-041.csv,0.8916666666666666,64,20,1.4545454545454546

sub-042.csv,0.8125,76,18,0.7999999999999998

sub-043.csv,0.8291666666666666,65,18,0.7818181818181813

sub-044.csv,0.8666666666666666,66,26,0.18181818181818166

sub-045.csv,0.5166666666666667,51,15,0.01818181818181852

sub-046.csv,0.49166666666666664,33,8,0.20000000000000018

sub-047.csv,0.5333333333333333,78,11,0.40000000000000036

sub-048.csv,0.5,51,8,1.1818181818181817

sub-049.csv,0.625,61,8,1.145454545454545

sub-050.csv,0.49583333333333335,19,9,0.6000000000000001

sub-051.csv,0.7166666666666667,37,20,0.709090909090909

sub-052.csv,0.55,35,11,2.6363636363636367

sub-053.csv,0.4375,75,18,0.709090909090909

sub-054.csv,0.4833333333333333,66,9,0.10909090909090935

sub-055.csv,0.5,80,34,0.0

sub-056.csv,0.4666666666666667,59,30,0.16363636363636358

sub-057.csv,0.8291666666666666,59,15,0.4545454545454546

sub-058.csv,0.4833333333333333,58,10,0.8363636363636364

sub-059.csv,0.4166666666666667,80,39,0.0

sub-060.csv,0.6125,71,16,0.9272727272727277

sub-061.csv,0.6958333333333333,49,8,1.6545454545454548

sub-062.csv,0.5,54,10,0.32727272727272716

sub-063.csv,0.7041666666666666,70,13,0.6181818181818182

sub-064.csv,0.6541666666666667,69,18,1.3272727272727276

sub-065.csv,0.5,49,14,1.3636363636363638

sub-066.csv,0.6458333333333333,38,10,0.036363636363636154

sub-067.csv,0.5,24,8,1.309090909090909

sub-068.csv,0.8875,67,27,1.1818181818181817

sub-069.csv,0.8458333333333333,60,13,1.2363636363636359

sub-070.csv,0.5499999999999999,67,23,0.5999999999999996

sub-071.csv,0.6333333333333333,39,8,1.690909090909091

sub-072.csv,0.6166666666666667,27,8,2.2

sub-073.csv,0.9791666666666666,32,9,1.1636363636363634

sub-074.csv,0.5833333333333334,36,9,0.5090909090909093

sub-075.csv,1.0,76,20,0.2181818181818187

sub-076.csv,0.4958333333333333,27,8,0.4545454545454546

sub-077.csv,0.8291666666666666,72,30,1.0181818181818185

sub-078.csv,0.475,22,8,0.3272727272727274

sub-079.csv,0.65,30,8,2.218181818181818

sub-080.csv,0.6708333333333334,23,8,0.5272727272727273

sub-081.csv,0.7375,43,10,1.0363636363636362

sub-082.csv,0.8416666666666667,52,12,1.9636363636363634

sub-083.csv,0.4791666666666667,36,14,1.0909090909090908

sub-084.csv,0.7124999999999999,64,17,0.290909090909091

sub-085.csv,0.7333333333333333,79,24,0.20000000000000018

sub-086.csv,0.7958333333333333,45,20,1.436363636363636

sub-087.csv,0.8041666666666667,52,15,0.07272727272727275

sub-088.csv,0.5,52,11,1.3818181818181818

sub-089.csv,0.4791666666666667,67,9,0.5636363636363635

sub-090.csv,0.49166666666666664,42,9,2.0

sub-091.csv,0.5,34,8,0.3999999999999999

sub-092.csv,0.5,32,8,1.4545454545454546

sub-093.csv,0.5,55,18,2.272727272727273

sub-094.csv,0.625,61,8,1.145454545454545

sub-095.csv,0.9166666666666666,76,8,0.7999999999999998

sub-096.csv,0.675,60,13,0.9454545454545458

sub-097.csv,0.4041666666666667,77,29,0.2727272727272725

sub-098.csv,0.7916666666666666,47,9,0.6727272727272728

sub-099.csv,0.5291666666666667,58,18,0.2545454545454544

sub-100.csv,0.49583333333333335,69,10,0.709090909090909

sub-101.csv,0.5333333333333333,66,27,0.40000000000000036

sub-102.csv,0.5,38,16,1.2000000000000002

sub-103.csv,0.95,39,11,1.1090909090909093

sub-104.csv,0.9125,60,20,0.21818181818181825

sub-105.csv,0.7583333333333333,54,17,0.9090909090909092

sub-106.csv,0.49583333333333335,77,9,0.2727272727272725

sub-107.csv,0.5083333333333333,41,11,2.090909090909091

sub-108.csv,0.4666666666666667,70,16,0.25454545454545396

sub-109.csv,0.8041666666666667,38,15,0.9090909090909092

sub-110.csv,0.8125,64,17,0.290909090909091

sub-111.csv,0.4958333333333333,43,9,1.6181818181818182

sub-112.csv,0.6541666666666667,73,19,0.8181818181818183

sub-113.csv,0.7958333333333333,70,18,0.6181818181818182

sub-114.csv,0.5166666666666666,44,12,1.527272727272727

sub-115.csv,0.475,36,8,4.0

sub-116.csv,0.49166666666666664,24,10,0.4363636363636365

sub-117.csv,0.9958333333333333,61,14,0.3090909090909091

sub-118.csv,0.9583333333333333,73,18,0.054545454545453786

sub-119.csv,0.6458333333333333,73,21,0.3454545454545457

sub-120.csv,0.4875,57,10,0.9272727272727272

sub-121.csv,0.5333333333333333,74,10,0.03636363636363704

sub-122.csv,0.5291666666666667,42,11,0.8363636363636364

sub-123.csv,0.6083333333333333,61,8,0.27272727272727293

sub-124.csv,0.4791666666666667,58,13,0.8363636363636364

sub-125.csv,0.9125,20,9,0.5090909090909093

sub-126.csv,0.5125,41,16,0.23636363636363633

sub-127.csv,0.8416666666666667,36,12,0.7999999999999998

sub-128.csv,0.5166666666666667,69,17,0.418181818181818

sub-129.csv,0.5083333333333333,59,14,1.6181818181818182

sub-130.csv,0.7875,39,9,0.5272727272727269

sub-131.csv,0.825,68,13,0.07272727272727231

sub-132.csv,0.5041666666666667,32,8,2.036363636363636

sub-133.csv,0.5,38,8,0.9090909090909092

sub-134.csv,0.625,34,8,1.2727272727272727

sub-135.csv,0.4875,25,9,0.6363636363636365

sub-136.csv,0.45833333333333337,40,9,2.1818181818181817

sub-137.csv,0.9333333333333333,53,16,0.12727272727272698

sub-138.csv,0.5125,31,8,2.418181818181818

sub-139.csv,0.9708333333333333,20,8,0.8

sub-140.csv,0.5,38,8,0.6181818181818182

sub-141.csv,0.4666666666666667,65,12,0.4909090909090912

sub-142.csv,0.7583333333333333,54,9,0.6181818181818182

sub-143.csv,0.8166666666666667,74,19,0.25454545454545396

sub-144.csv,0.625,37,11,1.8727272727272728

sub-145.csv,0.49166666666666664,80,32,0.0

sub-146.csv,0.47916666666666663,61,15,0.8909090909090907

sub-147.csv,0.6458333333333333,53,12,0.41818181818181843

sub-148.csv,0.5,57,18,0.23636363636363633

sub-149.csv,0.5,65,8,1.0727272727272728

sub-150.csv,0.6208333333333333,73,16,1.4

sub-151.csv,0.8791666666666667,36,13,1.9636363636363636

sub-152.csv,0.9333333333333333,67,32,0.8909090909090907

sub-153.csv,0.4958333333333333,60,25,1.2363636363636359

sub-154.csv,0.575,65,14,0.7818181818181813

sub-155.csv,0.6333333333333333,64,15,0.8727272727272726

sub-156.csv,0.825,43,13,1.3272727272727272

sub-157.csv,0.8,39,8,1.690909090909091

sub-158.csv,0.675,59,17,1.290909090909091

sub-159.csv,0.4875,76,23,0.7999999999999998

sub-160.csv,0.8291666666666666,54,17,0.6181818181818182

sub-161.csv,0.4875,50,8,0.10909090909090935

sub-162.csv,0.5,71,13,0.9272727272727277

sub-163.csv,0.8416666666666667,74,10,0.5454545454545459

