,sub,goal,trial_num_within_goal,trial_num,trial,current_state,planning_depth,decision,choice_numeric,control choice,got_to_goal
0,1,2,1,-1.0,1,start,2,1,1,0,0
1,1,2,1,-1.0,1,toothbrush,2,2,1,0,0
2,1,2,1,-1.0,1,car,2,3,1,0,0
3,1,1,1,-0.9830508474576272,1,start,1,1,0,1,1
4,1,1,1,-0.9830508474576272,1,baby,1,2,0,1,1
5,1,1,1,-0.9830508474576272,1,bowtie,1,3,0,1,1
6,1,1,2,-0.9661016949152542,2,start,1,1,0,1,1
7,1,1,2,-0.9661016949152542,2,toothbrush,1,2,0,1,1
8,1,1,2,-0.9661016949152542,2,backpack,1,3,0,1,1
9,1,1,3,-0.9491525423728814,3,start,1,1,0,1,1
10,1,1,3,-0.9491525423728814,3,toothbrush,1,2,0,1,1
11,1,1,3,-0.9491525423728814,3,backpack,1,3,0,1,1
12,1,3,1,-0.9322033898305084,1,start,3,1,1,0,1
13,1,3,1,-0.9322033898305084,1,baby,3,2,1,0,1
14,1,3,1,-0.9322033898305084,1,bowtie,3,3,1,0,1
15,1,2,2,-0.9152542372881356,2,start,2,1,0,1,1
16,1,2,2,-0.9152542372881356,2,baby,2,2,1,0,1
17,1,2,2,-0.9152542372881356,2,backpack,2,3,0,1,1
18,1,2,3,-0.8983050847457628,3,start,2,1,0,1,1
19,1,2,3,-0.8983050847457628,3,baby,2,2,0,1,1
20,1,2,3,-0.8983050847457628,3,backpack,2,3,0,1,1
21,1,3,2,-0.8813559322033898,2,start,3,1,1,0,1
22,1,3,2,-0.8813559322033898,2,toothbrush,3,2,0,1,1
23,1,3,2,-0.8813559322033898,2,car,3,3,0,1,1
24,1,3,3,-0.864406779661017,3,start,3,1,0,1,0
25,1,3,3,-0.864406779661017,3,toothbrush,3,2,0,1,0
26,1,3,3,-0.864406779661017,3,backpack,3,3,1,0,0
27,1,2,4,-0.847457627118644,4,start,2,1,0,1,0
28,1,2,4,-0.847457627118644,4,toothbrush,2,2,0,1,0
29,1,2,4,-0.847457627118644,4,car,2,3,1,0,0
30,1,1,4,-0.8305084745762712,4,start,1,1,1,0,1
31,1,1,4,-0.8305084745762712,4,baby,1,2,0,1,1
32,1,1,4,-0.8305084745762712,4,bowtie,1,3,0,1,1
33,1,2,5,-0.8135593220338984,5,start,2,1,0,1,1
34,1,2,5,-0.8135593220338984,5,toothbrush,2,2,0,1,1
35,1,2,5,-0.8135593220338984,5,backpack,2,3,0,1,1
36,1,3,4,-0.7966101694915254,4,start,3,1,1,0,0
37,1,3,4,-0.7966101694915254,4,baby,3,2,1,0,0
38,1,3,4,-0.7966101694915254,4,backpack,3,3,1,0,0
39,1,3,5,-0.7796610169491526,5,start,3,1,1,0,1
40,1,3,5,-0.7796610169491526,5,toothbrush,3,2,0,1,1
41,1,3,5,-0.7796610169491526,5,car,3,3,0,1,1
42,1,1,5,-0.7627118644067796,5,start,1,1,1,0,1
43,1,1,5,-0.7627118644067796,5,baby,1,2,0,1,1
44,1,1,5,-0.7627118644067796,5,bowtie,1,3,0,1,1
45,1,2,6,-0.7457627118644068,6,start,2,1,1,0,1
46,1,2,6,-0.7457627118644068,6,toothbrush,2,2,0,1,1
47,1,2,6,-0.7457627118644068,6,backpack,2,3,0,1,1
48,1,2,7,-0.7288135593220338,7,start,2,1,1,0,1
49,1,2,7,-0.7288135593220338,7,toothbrush,2,2,0,1,1
50,1,2,7,-0.7288135593220338,7,backpack,2,3,0,1,1
51,1,3,6,-0.711864406779661,6,start,3,1,0,1,1
52,1,3,6,-0.711864406779661,6,toothbrush,3,2,0,1,1
53,1,3,6,-0.711864406779661,6,car,3,3,0,1,1
54,1,2,8,-0.6949152542372882,8,start,2,1,1,0,0
55,1,2,8,-0.6949152542372882,8,toothbrush,2,2,0,1,0
56,1,2,8,-0.6949152542372882,8,car,2,3,1,0,0
57,1,2,9,-0.6779661016949152,9,start,2,1,0,1,1
58,1,2,9,-0.6779661016949152,9,toothbrush,2,2,0,1,1
59,1,2,9,-0.6779661016949152,9,backpack,2,3,0,1,1
60,1,2,10,-0.6610169491525424,10,start,2,1,0,1,1
61,1,2,10,-0.6610169491525424,10,toothbrush,2,2,0,1,1
62,1,2,10,-0.6610169491525424,10,backpack,2,3,0,1,1
63,1,3,7,-0.6440677966101694,7,start,3,1,0,1,1
64,1,3,7,-0.6440677966101694,7,toothbrush,3,2,0,1,1
65,1,3,7,-0.6440677966101694,7,car,3,3,0,1,1
66,1,3,8,-0.6271186440677966,8,start,3,1,0,1,1
67,1,3,8,-0.6271186440677966,8,toothbrush,3,2,0,1,1
68,1,3,8,-0.6271186440677966,8,car,3,3,0,1,1
69,1,2,11,-0.6101694915254238,11,start,2,1,0,1,1
70,1,2,11,-0.6101694915254238,11,toothbrush,2,2,0,1,1
71,1,2,11,-0.6101694915254238,11,backpack,2,3,0,1,1
72,1,3,9,-0.5932203389830508,9,start,3,1,0,1,1
73,1,3,9,-0.5932203389830508,9,baby,3,2,1,0,1
74,1,3,9,-0.5932203389830508,9,bowtie,3,3,1,0,1
75,1,2,12,-0.576271186440678,12,start,2,1,1,0,1
76,1,2,12,-0.576271186440678,12,toothbrush,2,2,0,1,1
77,1,2,12,-0.576271186440678,12,backpack,2,3,0,1,1
78,1,2,13,-0.559322033898305,13,start,2,1,1,0,1
79,1,2,13,-0.559322033898305,13,toothbrush,2,2,0,1,1
80,1,2,13,-0.559322033898305,13,backpack,2,3,0,1,1
81,1,3,10,-0.5423728813559322,10,start,3,1,0,1,1
82,1,3,10,-0.5423728813559322,10,toothbrush,3,2,0,1,1
83,1,3,10,-0.5423728813559322,10,car,3,3,0,1,1
84,1,1,6,-0.5254237288135594,6,start,1,1,1,0,1
