thisRow.t,notes,consent.started,image_11.started,consent1_next.started,text_89.started,consent.stopped,consent1_next.keys,consent1_next.rt,consent1_next.duration,consent2.started,image_13.started,consent1_next_2.started,text_90.started,consent2.stopped,consent1_next_2.keys,consent1_next_2.rt,consent1_next_2.duration,questionnaire_start.started,text_33.started,questionnaire_start.stopped,PSWQ1.started,text_36.started,text_56.started,text_57.started,key_resp_3.started,PSWQ1.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,PSWQ2.started,text_58.started,text_59.started,text_60.started,key_resp_13.started,PSWQ2.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.duration,PSWQ3.started,text_61.started,text_62.started,text_63.started,key_resp_14.started,PSWQ3.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,PSWQ4.started,text_64.started,text_65.started,text_66.started,key_resp_15.started,PSWQ4.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,PSWQ5.started,text_67.started,text_68.started,text_69.started,key_resp_16.started,PSWQ5.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.duration,PSWQ6.started,text_76.started,text_77.started,text_78.started,key_resp_25.started,PSWQ6.stopped,key_resp_25.keys,key_resp_25.rt,key_resp_25.duration,PSWQ7.started,text_79.started,text_80.started,text_81.started,key_resp_26.started,PSWQ7.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.duration,PSWQ8.started,text_82.started,text_83.started,text_84.started,key_resp_27.started,PSWQ8.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.duration,PSWQ9.started,text_85.started,text_86.started,text_87.started,key_resp_28.started,PSWQ9.stopped,key_resp_28.keys,key_resp_28.rt,key_resp_28.duration,PSWQ10.started,text_88.started,text_91.started,text_92.started,key_resp_29.started,PSWQ10.stopped,key_resp_29.keys,key_resp_29.rt,key_resp_29.duration,PSWQ11.started,text_93.started,text_94.started,text_95.started,key_resp_30.started,PSWQ11.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.duration,PSWQ12.started,text_96.started,text_97.started,text_98.started,key_resp_31.started,PSWQ12.stopped,key_resp_31.keys,key_resp_31.rt,key_resp_31.duration,PSWQ13.started,text_99.started,text_100.started,text_101.started,key_resp_32.started,PSWQ13.stopped,key_resp_32.keys,key_resp_32.rt,key_resp_32.duration,PSWQ14.started,text_102.started,text_103.started,text_104.started,key_resp_33.started,PSWQ14.stopped,key_resp_33.keys,key_resp_33.rt,key_resp_33.duration,PSWQ15.started,text_105.started,text_106.started,text_107.started,key_resp_34.started,PSWQ15.stopped,key_resp_34.keys,key_resp_34.rt,key_resp_34.duration,PSWQ16.started,text_108.started,text_109.started,text_110.started,key_resp_35.started,PSWQ16.stopped,key_resp_35.keys,key_resp_35.rt,key_resp_35.duration,q2_instructions.started,text_155.started,q2_instructions.stopped,AM1.started,text_156.started,text_157.started,text_158.started,key_resp_41.started,AM1.stopped,key_resp_41.keys,key_resp_41.rt,key_resp_41.duration,AM2.started,text_159.started,text_160.started,text_161.started,key_resp_42.started,AM2.stopped,key_resp_42.keys,key_resp_42.rt,key_resp_42.duration,AM3.started,text_162.started,text_163.started,text_164.started,key_resp_43.started,AM3.stopped,key_resp_43.keys,key_resp_43.rt,key_resp_43.duration,AM4.started,text_165.started,text_166.started,text_167.started,key_resp_44.started,AM4.stopped,key_resp_44.keys,key_resp_44.rt,key_resp_44.duration,AM5.started,text_168.started,text_169.started,text_170.started,key_resp_45.started,AM5.stopped,key_resp_45.keys,key_resp_45.rt,key_resp_45.duration,q3_instructions.started,text_171.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.17843700002413243,0.21041139995213598,0.21041139995213598,0.21041139995213598,6.865387300029397,space,6.644693800015375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
,,,,,,,,,,6.997648800024763,7.035982599947602,7.035982599947602,7.035982599947602,8.347089699935168,y,1.3018263999838382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
,,,,,,,,,,,,,,,,,,8.347221200005151,8.362515099928714,13.36805779999122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
,,,,,,,,,,,,,,,,,,,,,13.36822259996552,13.387647800031118,13.387647800031118,13.387647800031118,13.387647800031118,16.6279905999545,1,3.2149725999915972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.628173199947923,16.662955299951136,16.662955299951136,16.662955299951136,16.662955299951136,16.777020700043067,1,0.0935288000619039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.77719219995197,16.796815100009553,16.796815100009553,16.796815100009553,16.796815100009553,16.94479710003361,1,0.11415279994253069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.94498459994793,16.979690599953756,16.979690599953756,16.979690599953756,16.979690599953756,17.064486299990676,1,0.0722708998946473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.064701299997978,17.095373600022867,17.095373600022867,17.095373600022867,17.095373600022867,17.208837099955417,1,0.07802510005421937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.209006599965505,17.23088419996202,17.23088419996202,17.23088419996202,17.23088419996202,17.34403849998489,1,0.0902705000480637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.34422239998821,17.37818579992745,17.37818579992745,17.37818579992745,17.37818579992745,17.47562439995818,1,0.07669869996607304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,001,2024-12-24_15h23.37.487,thisExp,2024.2.4,61.39247966357912,2024-12-24 15h23.46.219306 +0200,
